date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:32:19	10912/10912	---MCZ	200	added ('OK')	text/html	etag:W/%227987d75cc05231b7b9be771bfc1d39e5%22	https://super-tips-rho.vercel.app/	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/index.html	(from )
06:32:19	1472/1472	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2004:32:17%20GMT	https://super-tips-rho.vercel.app/robots.txt		(from )
06:32:19	23267/23267	---MCZ	200	added ('OK')	text/css	etag:W/%2240f99871bd8d72fb86cb97ca119a852d%22	https://super-tips-rho.vercel.app/css/styles.css	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/css/styles.css	(from https://super-tips-rho.vercel.app/)
06:32:20	11890/11890	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2020%20Mar%202024%2004:32:17%20GMT	https://kit.fontawesome.com/1e03d39da6.js	C:/My%20Web%20Sites/Supertips%20Final/kit.fontawesome.com/1e03d39da6.js	(from https://super-tips-rho.vercel.app/)
06:32:20	4674/4674	---MCZ	200	added ('OK')	text/html	etag:W/%223eb84959525526501d3ed4e758ecec87%22	https://super-tips-rho.vercel.app/contact.html	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/contact.html	(from https://super-tips-rho.vercel.app/)
06:32:20	23846/23846	---MCZ	200	added ('OK')	text/html	etag:W/%22675c081b927651fe12d62860c39cd399%22	https://super-tips-rho.vercel.app/dashboard.html	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/dashboard.html	(from https://super-tips-rho.vercel.app/)
06:32:20	4582/4582	---MCZ	200	added ('OK')	text/html	etag:W/%22fa65378976953c50ffc77e6d0827a3fb%22	https://super-tips-rho.vercel.app/signIn.html	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/signIn.html	(from https://super-tips-rho.vercel.app/)
06:32:20	2026/2026	---M--	200	added ('OK')	image/png	etag:%22a7870f079b86d13fdacfd0416f7c923d%22	https://super-tips-rho.vercel.app/images/cloud3.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/cloud3.png	(from https://super-tips-rho.vercel.app/)
06:32:20	3379/3379	---M--	200	added ('OK')	image/png	etag:%22f25c4c685a6c526e866eb08a90c1adf7%22	https://super-tips-rho.vercel.app/images/cloud1.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/cloud1.png	(from https://super-tips-rho.vercel.app/)
06:32:21	3725/3725	---M--	200	added ('OK')	image/png	etag:%22749c1d414e09770408937e2e9f176253%22	https://super-tips-rho.vercel.app/images/cloud2.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/cloud2.png	(from https://super-tips-rho.vercel.app/)
06:32:21	28604/28604	---M--	200	added ('OK')	image/png	etag:%22926597dfb4968b4157bd2abe7fd385c7%22	https://super-tips-rho.vercel.app/images/landing-hero.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/landing-hero.png	(from https://super-tips-rho.vercel.app/)
06:32:21	20078/20078	---M--	200	added ('OK')	image/png	etag:%22dba80d85e42c9b786add9d02583578a3%22	https://super-tips-rho.vercel.app/images/landing-hero-detail.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/landing-hero-detail.png	(from https://super-tips-rho.vercel.app/)
06:32:21	4446/4446	---M--	200	added ('OK')	image/png	etag:%2280cd0e3d2a2e58d04dfd8910de6d5139%22	https://super-tips-rho.vercel.app/images/man.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/man.png	(from https://super-tips-rho.vercel.app/)
06:32:22	5457/5457	---M--	200	added ('OK')	image/png	etag:%229adca550cd43cda4b8f39652052f3c0e%22	https://super-tips-rho.vercel.app/images/woman.png	C:/My%20Web%20Sites/Supertips%20Final/super-tips-rho.vercel.app/images/woman.png	(from https://super-tips-rho.vercel.app/)
